"SUID","Degree","Edge_type","log2FoldChange","name","Regulatury","selected","SelfLoops","shared name","type"
"93538","4","mRNA-miRNA","1.59266006484045","NAT10","UP","false","0","NAT10","mRNA"
"93539",,"mRNA-miRNA","5.33155193007295","PAX7","UP","false",,"PAX7","mRNA"
"93540","4","mRNA-miRNA","1.59559173925684","ATAD2","UP","false","0","ATAD2","mRNA"
"93541","7","mRNA-miRNA","-3.18626379172705","ABCB1","DOWN","false","0","ABCB1","mRNA"
"93542","0","mRNA-miRNA","-1.73588715746773","BHLHE41","DOWN","false","0","BHLHE41","mRNA"
"93543",,"mRNA-miRNA","2.48833166197192","PAX9","UP","false",,"PAX9","mRNA"
"93544","3","mRNA-miRNA","-0.835274394099724","TLK2","DOWN","false","0","TLK2","mRNA"
"93545","7","mRNA-miRNA","1.51721700786291","NOP56","UP","false","0","NOP56","mRNA"
"93546","0","mRNA-miRNA","-1.20573332143451","PPARGC1B","DOWN","false","0","PPARGC1B","mRNA"
"93547","2","mRNA-miRNA","1.85954106122757","CDC45","UP","false","0","CDC45","mRNA"
"93548",,"mRNA-miRNA","-1.40679812077938","CD247","DOWN","false","0","CD247","mRNA"
"93549","1","mRNA-miRNA","1.34932066736749","LPIN1","UP","false","0","LPIN1","mRNA"
"93550","0","mRNA-miRNA","-1.42080118771365","CBFA2T3","DOWN","false","0","CBFA2T3","mRNA"
"93551",,"mRNA-miRNA","-1.2220870227522","AFF1","DOWN","false",,"AFF1","mRNA"
"93552",,"mRNA-miRNA","1.30805675974903","UNKL","UP","false","0","UNKL","mRNA"
"93553","0","mRNA-miRNA","0.881561691272494","POLR2D","UP","false","0","POLR2D","mRNA"
"93554","23","mRNA-miRNA","-1.15674931851984","PPP2CB","DOWN","false","0","PPP2CB","mRNA"
"93555","6","mRNA-miRNA","-1.02497694207265","SEL1L","DOWN","false","0","SEL1L","mRNA"
"93556","2","mRNA-miRNA","1.73841654410956","RIPK2","UP","false","0","RIPK2","mRNA"
"93557","0","mRNA-miRNA","1.51905696970265","PRDX4","UP","false","0","PRDX4","mRNA"
"93558",,"mRNA-miRNA","1.74824181127292","C20orf27","UP","false",,"C20orf27","mRNA"
"93559","0","mRNA-miRNA","1.88342099257606","CLPB","UP","false","0","CLPB","mRNA"
"93560","2","mRNA-miRNA","-3.50837121011734","AKR1B10","DOWN","false","0","AKR1B10","mRNA"
"93561","0","mRNA-miRNA","-1.18406999773359","TP53I3","DOWN","false","0","TP53I3","mRNA"
"93562","3","mRNA-miRNA","1.10817729135852","SSBP1","UP","false","0","SSBP1","mRNA"
"93563","1","mRNA-miRNA","1.77655674439167","P3H1","UP","false","0","P3H1","mRNA"
"93564","12","mRNA-miRNA","1.27668917201575","TKT","UP","false","0","TKT","mRNA"
"93565",,"mRNA-miRNA","-0.818119419369432","RMDN1","DOWN","false",,"RMDN1","mRNA"
"93566",,"mRNA-miRNA","-0.939404202988052","HIBCH","DOWN","false",,"HIBCH","mRNA"
"93567","1","mRNA-miRNA","-1.12747750135908","DERL2","DOWN","false","0","DERL2","mRNA"
"93568","0","mRNA-miRNA","-1.48804796519266","ZBTB7B","DOWN","false","0","ZBTB7B","mRNA"
"93569","0","mRNA-miRNA","0.913381588936126","PAK1IP1","UP","false","0","PAK1IP1","mRNA"
